video,degradation_type,degradation_param,degradation_label,prob_original,prob_degraded,delta_probabilidade,detection_rate
wild_real_003.mp4,original,,Original,0.49958550930023193,0.49958550930023193,0.0,100.0
wild_real_003.mp4,gaussian_noise,0.01,Noise σ=0.01,0.49958550930023193,0.5055459141731262,0.005960404872894287,100.0
wild_real_003.mp4,gaussian_noise,0.05,Noise σ=0.05,0.49958550930023193,0.497030109167099,0.0025554001331329346,100.0
wild_real_003.mp4,gaussian_noise,0.1,Noise σ=0.10,0.49958550930023193,0.496719628572464,0.0028658807277679443,100.0
wild_real_003.mp4,blur,3.0,Blur k=3,0.49958550930023193,0.5184939503669739,0.018908441066741943,100.0
wild_real_003.mp4,blur,7.0,Blur k=7,0.49958550930023193,0.5197864770889282,0.02020096778869629,100.0
wild_real_003.mp4,blur,15.0,Blur k=15,0.49958550930023193,0.526960551738739,0.02737504243850708,100.0
wild_real_003.mp4,jpeg_compression,90.0,JPEG Q=90,0.49958550930023193,0.5090371966362,0.009451687335968018,100.0
wild_real_003.mp4,jpeg_compression,50.0,JPEG Q=50,0.49958550930023193,0.5090659856796265,0.009480476379394531,100.0
wild_real_003.mp4,jpeg_compression,20.0,JPEG Q=20,0.49958550930023193,0.5091754794120789,0.009589970111846924,100.0
wild_real_003.mp4,resize,0.75,Resize 75%,0.49958550930023193,0.5094461441040039,0.009860634803771973,100.0
wild_real_003.mp4,resize,0.5,Resize 50%,0.49958550930023193,0.5098176002502441,0.010232090950012207,100.0
wild_real_003.mp4,resize,0.25,Resize 25%,0.49958550930023193,0.5167993903160095,0.017213881015777588,100.0
wild_real_002.mp4,original,,Original,0.49958550930023193,0.49958550930023193,0.0,100.0
wild_real_002.mp4,gaussian_noise,0.01,Noise σ=0.01,0.49958550930023193,0.5058013796806335,0.006215870380401611,100.0
wild_real_002.mp4,gaussian_noise,0.05,Noise σ=0.05,0.49958550930023193,0.5011927485466003,0.0016072392463684082,100.0
wild_real_002.mp4,gaussian_noise,0.1,Noise σ=0.10,0.49958550930023193,0.4963423013687134,0.0032432079315185547,100.0
wild_real_002.mp4,blur,3.0,Blur k=3,0.49958550930023193,0.5184939503669739,0.018908441066741943,100.0
wild_real_002.mp4,blur,7.0,Blur k=7,0.49958550930023193,0.5197864770889282,0.02020096778869629,100.0
wild_real_002.mp4,blur,15.0,Blur k=15,0.49958550930023193,0.526960551738739,0.02737504243850708,100.0
wild_real_002.mp4,jpeg_compression,90.0,JPEG Q=90,0.49958550930023193,0.5090371966362,0.009451687335968018,100.0
wild_real_002.mp4,jpeg_compression,50.0,JPEG Q=50,0.49958550930023193,0.5090659856796265,0.009480476379394531,100.0
wild_real_002.mp4,jpeg_compression,20.0,JPEG Q=20,0.49958550930023193,0.5091754794120789,0.009589970111846924,100.0
wild_real_002.mp4,resize,0.75,Resize 75%,0.49958550930023193,0.5094461441040039,0.009860634803771973,100.0
wild_real_002.mp4,resize,0.5,Resize 50%,0.49958550930023193,0.5098176002502441,0.010232090950012207,100.0
wild_real_002.mp4,resize,0.25,Resize 25%,0.49958550930023193,0.5167993903160095,0.017213881015777588,100.0
wild_real_000.mp4,original,,Original,0.49958550930023193,0.49958550930023193,0.0,100.0
wild_real_000.mp4,gaussian_noise,0.01,Noise σ=0.01,0.49958550930023193,0.5051442980766296,0.005558788776397705,100.0
wild_real_000.mp4,gaussian_noise,0.05,Noise σ=0.05,0.49958550930023193,0.49902403354644775,0.0005614757537841797,100.0
wild_real_000.mp4,gaussian_noise,0.1,Noise σ=0.10,0.49958550930023193,0.4960773289203644,0.0035081803798675537,100.0
wild_real_000.mp4,blur,3.0,Blur k=3,0.49958550930023193,0.5184939503669739,0.018908441066741943,100.0
wild_real_000.mp4,blur,7.0,Blur k=7,0.49958550930023193,0.5197864770889282,0.02020096778869629,100.0
wild_real_000.mp4,blur,15.0,Blur k=15,0.49958550930023193,0.526960551738739,0.02737504243850708,100.0
wild_real_000.mp4,jpeg_compression,90.0,JPEG Q=90,0.49958550930023193,0.5090371966362,0.009451687335968018,100.0
wild_real_000.mp4,jpeg_compression,50.0,JPEG Q=50,0.49958550930023193,0.5090659856796265,0.009480476379394531,100.0
wild_real_000.mp4,jpeg_compression,20.0,JPEG Q=20,0.49958550930023193,0.5091754794120789,0.009589970111846924,100.0
wild_real_000.mp4,resize,0.75,Resize 75%,0.49958550930023193,0.5094461441040039,0.009860634803771973,100.0
wild_real_000.mp4,resize,0.5,Resize 50%,0.49958550930023193,0.5098176002502441,0.010232090950012207,100.0
wild_real_000.mp4,resize,0.25,Resize 25%,0.49958550930023193,0.5167993903160095,0.017213881015777588,100.0
